activation,dominance,valence,gender,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
3,3,1.5,M,5.5,2.167,3.667,6,3.417
3,3,2.5,F,4.25,6.083,5.333,1.833,4.25
2.5,2.5,2.5,F,4.25,6.083,5.333,1.833,4.25
4.5,4,2,M,5.5,2.167,3.667,6,3.417
3.5,4,2,M,5.5,2.167,3.667,6,3.417
3,3.5,3,F,4.25,6.083,5.333,1.833,4.25
3.5,4,2,M,5.5,2.167,3.667,6,3.417
2.5,2.5,3,F,4.25,6.083,5.333,1.833,4.25
4,4,2,M,5.5,2.167,3.667,6,3.417
3,2.5,2.5,F,4.25,6.083,5.333,1.833,4.25
2.5,3,2,F,4.25,6.083,5.333,1.833,4.25
3,3.5,1.5,M,5.5,2.167,3.667,6,3.417
4,4,2,M,5.5,2.167,3.667,6,3.417
2.5,3,3,F,4.25,6.083,5.333,1.833,4.25
4,4,2.5,M,5.5,2.167,3.667,6,3.417
4,4,2,M,5.5,2.167,3.667,6,3.417
3.5,3.5,3,F,4.25,6.083,5.333,1.833,4.25
3.5,3,3,F,4.25,6.083,5.333,1.833,4.25
4,4,3,M,5.5,2.167,3.667,6,3.417
3.5,3,2.5,F,4.25,6.083,5.333,1.833,4.25
4.5,4.5,2.5,M,5.5,2.167,3.667,6,3.417
3.5,3,2.5,F,4.25,6.083,5.333,1.833,4.25
4,4,2,M,5.5,2.167,3.667,6,3.417
4.5,5,1.5,M,5.5,2.167,3.667,6,3.417
3,3,2.5,F,4.25,6.083,5.333,1.833,4.25
4,4.5,1.5,M,5.5,2.167,3.667,6,3.417
3,3.5,2.5,F,4.25,6.083,5.333,1.833,4.25
3,3.5,2.5,F,4.25,6.083,5.333,1.833,4.25
4,4,2,M,5.5,2.167,3.667,6,3.417
3.5,3.5,2,M,5.5,2.167,3.667,6,3.417
3.5,2,3,F,4.25,6.083,5.333,1.833,4.25
3,4,2.5,F,4.25,6.083,5.333,1.833,4.25
4,4.5,2,M,5.5,2.167,3.667,6,3.417
3,3.5,3,F,4.25,6.083,5.333,1.833,4.25
2.5,3,3.5,F,4.25,6.083,5.333,1.833,4.25
2,2.5,2.5,F,2.083,6.5,5.75,2.333,4.083
1.5,2.5,2,M,2.417,6,4.75,3.417,2.917
2.5,4,1.5,F,2.083,6.5,5.75,2.333,4.083
2.5,2.5,1.5,M,2.417,6,4.75,3.417,2.917
2.5,3.5,1.5,M,2.417,6,4.75,3.417,2.917
1.5,2.5,1.5,F,2.083,6.5,5.75,2.333,4.083
2,3.5,1.5,M,2.417,6,4.75,3.417,2.917
2,3.5,1.5,F,2.083,6.5,5.75,2.333,4.083
1.5,4,1.5,M,2.417,6,4.75,3.417,2.917
2.5,3.5,2,F,2.083,6.5,5.75,2.333,4.083
2.5,3.5,1.5,M,2.417,6,4.75,3.417,2.917
2,3.5,1.5,M,2.417,6,4.75,3.417,2.917
2,3,2,F,2.083,6.5,5.75,2.333,4.083
2,3.5,2,M,2.417,6,4.75,3.417,2.917
1.5,2.5,2.5,F,2.083,6.5,5.75,2.333,4.083
2.5,3.5,1.5,M,2.417,6,4.75,3.417,2.917
1,2,2.5,F,2.083,6.5,5.75,2.333,4.083
3,4,2,M,2.417,6,4.75,3.417,2.917
2.5,3,2,F,2.083,6.5,5.75,2.333,4.083
2,2.5,2.5,M,2.417,6,4.75,3.417,2.917
2.5,3,2.5,F,2.083,6.5,5.75,2.333,4.083
2,3.5,2.5,M,2.417,6,4.75,3.417,2.917
2,3.5,3,M,2.417,6,4.75,3.417,2.917
2,3,3.5,F,2.083,6.5,5.75,2.333,4.083
1.5,3,2,M,2.417,6,4.75,3.417,2.917
1.5,2.5,2.5,F,2.083,6.5,5.75,2.333,4.083
2.5,3,3,M,2.417,6,4.75,3.417,2.917
2,3.5,3,F,2.083,6.5,5.75,2.333,4.083
1.5,3,2,M,2.417,6,4.75,3.417,2.917
2,3,2.5,F,2.083,6.5,5.75,2.333,4.083
3.5,4.5,1,M,2.417,6,4.75,3.417,2.917
3,4.5,1.5,M,2.417,6,4.75,3.417,2.917
2.5,3.5,1.5,M,2.417,6,4.75,3.417,2.917
1.5,2.5,2,F,2.083,6.5,5.75,2.333,4.083
2,4,2,M,2.417,6,4.75,3.417,2.917
1.5,2.5,2.5,F,2.083,6.5,5.75,2.333,4.083
2.5,2.5,2.5,M,2.417,6,4.75,3.417,2.917
1.5,2.5,2.5,F,2.083,6.5,5.75,2.333,4.083
2,3,2,M,2.417,6,4.75,3.417,2.917
2,2.5,2.5,F,2.083,6.5,5.75,2.333,4.083
3,3,2.5,M,2.417,6,4.75,3.417,2.917
2.5,2.5,2.5,M,2.417,6,4.75,3.417,2.917
2,3,2.5,F,2.083,6.5,5.75,2.333,4.083
4,3.5,4,M,6.333,5.917,5.417,2.917,5.75
3.5,3,3.5,F,6.167,6.333,5,2.667,5.417
3,3.5,4,M,6.333,5.917,5.417,2.917,5.75
3,2.5,4,F,6.167,6.333,5,2.667,5.417
4,4,5,M,6.333,5.917,5.417,2.917,5.75
4.5,4,5,F,6.167,6.333,5,2.667,5.417
4,3.5,4.5,F,6.167,6.333,5,2.667,5.417
3.5,3.5,4.5,M,6.333,5.917,5.417,2.917,5.75
4,4,4,M,6.333,5.917,5.417,2.917,5.75
4,4,4,M,6.333,5.917,5.417,2.917,5.75
4.5,4,4.5,F,6.167,6.333,5,2.667,5.417
4,3.5,4.5,F,6.167,6.333,5,2.667,5.417
4.5,4.5,4.5,M,6.333,5.917,5.417,2.917,5.75
4.5,4,5,F,6.167,6.333,5,2.667,5.417
4,4.5,4.5,M,6.333,5.917,5.417,2.917,5.75
3.5,4,4,F,6.167,6.333,5,2.667,5.417
3,3,4,F,6.167,6.333,5,2.667,5.417
3,3.5,3.5,M,6.333,5.917,5.417,2.917,5.75
4,4,3,M,6.333,5.917,5.417,2.917,5.75
3,2.5,3,M,6.333,5.917,5.417,2.917,5.75
3.5,3,3,F,6.167,6.333,5,2.667,5.417
2.5,2.5,3.5,M,6.333,5.917,5.417,2.917,5.75
4,4,4.5,F,6.167,6.333,5,2.667,5.417
3.5,3,4,M,6.333,5.917,5.417,2.917,5.75
3,3,3.5,M,6.333,5.917,5.417,2.917,5.75
3,3,4,F,6.167,6.333,5,2.667,5.417
3.5,4,4.5,M,6.333,5.917,5.417,2.917,5.75
3.5,3,4.5,F,6.167,6.333,5,2.667,5.417
4,4,4.5,M,6.333,5.917,5.417,2.917,5.75
4.5,3.5,4.5,F,6.167,6.333,5,2.667,5.417
4.5,3.5,4,F,6.167,6.333,5,2.667,5.417
4,4.5,4,M,6.333,5.917,5.417,2.917,5.75
2.5,3,3.5,F,6.167,6.333,5,2.667,5.417
3.5,3.5,4,M,6.333,5.917,5.417,2.917,5.75
3,3,3.5,F,6.167,6.333,5,2.667,5.417
3,3.5,3.5,F,6.167,6.333,5,2.667,5.417
3,3,3.5,M,6.333,5.917,5.417,2.917,5.75
4,3,4.5,M,6.333,5.917,5.417,2.917,5.75
4.5,4,4.5,F,6.167,6.333,5,2.667,5.417
4,4,4.5,M,6.333,5.917,5.417,2.917,5.75
3.5,4.5,4.5,M,6.333,5.917,5.417,2.917,5.75
2.5,2.5,3.5,M,6.333,5.917,5.417,2.917,5.75
2.5,3.5,3.5,F,6.167,6.333,5,2.667,5.417
4,2.5,3.5,M,6.333,5.917,5.417,2.917,5.75
3.5,2.5,3,M,6.333,5.917,5.417,2.917,5.75
3,3,4,F,6.167,6.333,5,2.667,5.417
3.5,4,3.5,M,6.333,5.917,5.417,2.917,5.75
4,4,4,M,6.333,5.917,5.417,2.917,5.75
2.5,3,3.5,F,6.167,6.333,5,2.667,5.417
4.5,4,4,M,6.333,5.917,5.417,2.917,5.75
4.5,3.5,4.5,F,6.167,6.333,5,2.667,5.417
3.5,3.5,4.5,M,6.333,5.917,5.417,2.917,5.75
3.5,3,3.5,F,6.167,6.333,5,2.667,5.417
4,4,3.5,M,6.333,5.917,5.417,2.917,5.75
3.5,3,4,F,6.167,6.333,5,2.667,5.417
3.5,3.5,4,F,6.167,6.333,5,2.667,5.417
2.5,3.5,4,M,6.333,5.917,5.417,2.917,5.75
4,3.5,4,M,6.333,5.917,5.417,2.917,5.75
3,3.5,4,F,6.167,6.333,5,2.667,5.417
2.5,3.5,3.5,F,6.167,6.333,5,2.667,5.417
3,3.5,4,F,6.167,6.333,5,2.667,5.417
3,4,4.5,M,6.333,5.917,5.417,2.917,5.75
3,3,4,F,6.167,6.333,5,2.667,5.417
3,2.6667,3.6667,M,4.417,6.167,6.417,1.5,4.5
3.6667,2.6667,4,F,5.833,4.833,3.833,4,4.667
3,2.6667,4,M,4.417,6.167,6.417,1.5,4.5
4,3.3333,3,F,5.833,4.833,3.833,4,4.667
3.6667,3.3333,2.6667,F,5.833,4.833,3.833,4,4.667
3,2.6667,3.3333,M,4.417,6.167,6.417,1.5,4.5
3.6667,3,2.3333,F,5.833,4.833,3.833,4,4.667
4.3333,3.3333,2,F,5.833,4.833,3.833,4,4.667
3.3333,3,3.6667,M,4.417,6.167,6.417,1.5,4.5
3.6667,3,3.6667,M,4.417,6.167,6.417,1.5,4.5
4,3.3333,2,F,5.833,4.833,3.833,4,4.667
3.6667,2.6667,4,M,4.417,6.167,6.417,1.5,4.5
3.6667,2.3333,3.6667,F,5.833,4.833,3.833,4,4.667
3.3333,2.6667,4,M,4.417,6.167,6.417,1.5,4.5
3.6667,2.6667,2.6667,F,5.833,4.833,3.833,4,4.667
3.6667,2.6667,3,F,5.833,4.833,3.833,4,4.667
3.6667,3,2,F,5.833,4.833,3.833,4,4.667
3.3333,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
3.3333,2,3,F,5.833,4.833,3.833,4,4.667
3.3333,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
3.3333,2,2.6667,F,5.833,4.833,3.833,4,4.667
3,2.6667,3.6667,M,4.417,6.167,6.417,1.5,4.5
3.3333,2,2.6667,F,5.833,4.833,3.833,4,4.667
3,3,3,M,4.417,6.167,6.417,1.5,4.5
3.3333,3,3,M,4.417,6.167,6.417,1.5,4.5
2.6667,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
3.6667,2.3333,3.6667,F,5.833,4.833,3.833,4,4.667
3,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
3.3333,2.3333,3.3333,M,4.417,6.167,6.417,1.5,4.5
3.6667,2.6667,3,F,5.833,4.833,3.833,4,4.667
3.3333,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
2.6667,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
3,2,2.6667,F,5.833,4.833,3.833,4,4.667
3,2.6667,2.3333,F,5.833,4.833,3.833,4,4.667
3,2.6667,2.3333,F,5.833,4.833,3.833,4,4.667
3,3,3,M,4.417,6.167,6.417,1.5,4.5
2.3333,2.3333,3,M,4.417,6.167,6.417,1.5,4.5
3,2.3333,2,F,5.833,4.833,3.833,4,4.667
2.6667,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
2.6667,2,2.6667,F,5.833,4.833,3.833,4,4.667
2.3333,3,3,M,4.417,6.167,6.417,1.5,4.5
2.6667,3,3.3333,M,4.417,6.167,6.417,1.5,4.5
3.6667,2.3333,4,F,5.833,4.833,3.833,4,4.667
2.6667,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
3,3,4,F,5.833,4.833,3.833,4,4.667
3,2,3,M,4.417,6.167,6.417,1.5,4.5
3.3333,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
3.6667,2.6667,3,M,4.417,6.167,6.417,1.5,4.5
3.3333,2.6667,3.3333,F,5.833,4.833,3.833,4,4.667
2.6667,2.6667,3.3333,M,4.417,6.167,6.417,1.5,4.5
3,2.3333,4,F,5.833,4.833,3.833,4,4.667
3,3,3.3333,M,4.417,6.167,6.417,1.5,4.5
2.3333,2,3,F,5.833,4.833,3.833,4,4.667
3,3,3,M,4.417,6.167,6.417,1.5,4.5
3.6667,3.3333,3,M,4.417,6.167,6.417,1.5,4.5
3.3333,2.3333,3.6667,F,5.833,4.833,3.833,4,4.667
2.6667,2,3.3333,F,5.833,4.833,3.833,4,4.667
2.6667,2,3.6667,F,5.833,4.833,3.833,4,4.667
2.6667,2.6667,3.3333,M,4.417,6.167,6.417,1.5,4.5
3,3,4,F,5.833,4.833,3.833,4,4.667
3,2.3333,3.3333,M,4.417,6.167,6.417,1.5,4.5
2.6667,2.3333,4,F,5.833,4.833,3.833,4,4.667
3,2.3333,3.6667,F,5.833,4.833,3.833,4,4.667
3,3,3,F,3.583,3.917,4.333,4.417,3.5
2.5,2.5,3,M,4.333,2.917,3.583,4.833,3.75
2.5,3,2,F,3.583,3.917,4.333,4.417,3.5
2.5,3.5,2.5,M,4.333,2.917,3.583,4.833,3.75
2.5,3,2.5,F,3.583,3.917,4.333,4.417,3.5
2.5,4,2.5,M,4.333,2.917,3.583,4.833,3.75
2.5,3.5,2,F,3.583,3.917,4.333,4.417,3.5
3,3.5,2,M,4.333,2.917,3.583,4.833,3.75
2.5,2.5,2.5,F,3.583,3.917,4.333,4.417,3.5
2.5,3.5,2.5,M,4.333,2.917,3.583,4.833,3.75
2,3,2,F,3.583,3.917,4.333,4.417,3.5
2.5,3,2,M,4.333,2.917,3.583,4.833,3.75
3.5,4.5,2,F,3.583,3.917,4.333,4.417,3.5
2.5,2.5,2,M,4.333,2.917,3.583,4.833,3.75
3,4,2.5,F,3.583,3.917,4.333,4.417,3.5
2.5,4,2.5,M,4.333,2.917,3.583,4.833,3.75
2.5,3,3,F,3.583,3.917,4.333,4.417,3.5
3.5,4,2.5,M,4.333,2.917,3.583,4.833,3.75
2,3,3,F,3.583,3.917,4.333,4.417,3.5
3.5,4.5,2.5,M,4.333,2.917,3.583,4.833,3.75
2.5,3.5,2.5,F,3.583,3.917,4.333,4.417,3.5
3.5,4,2,M,4.333,2.917,3.583,4.833,3.75
4,4,2,M,4.333,2.917,3.583,4.833,3.75
3.5,3.5,2,F,3.583,3.917,4.333,4.417,3.5
3.5,4.5,2.5,M,4.333,2.917,3.583,4.833,3.75
2.5,3.5,2,F,3.583,3.917,4.333,4.417,3.5
4,4.5,1.5,M,4.333,2.917,3.583,4.833,3.75
3.5,4.5,2,F,3.583,3.917,4.333,4.417,3.5
2.5,3,2.5,M,4.333,2.917,3.583,4.833,3.75
4,4,2,F,3.583,3.917,4.333,4.417,3.5
3,3.5,2.5,M,4.333,2.917,3.583,4.833,3.75
2.5,3.5,3,M,4.333,2.917,3.583,4.833,3.75
2.5,4,3,M,4.333,2.917,3.583,4.833,3.75
2.5,3,3,F,3.583,3.917,4.333,4.417,3.5
2.5,3.5,3,M,4.333,2.917,3.583,4.833,3.75
3.5,3.5,3,F,3.583,3.917,4.333,4.417,3.5
2.5,3.5,2,M,4.333,2.917,3.583,4.833,3.75
2.5,3,3,F,3.583,3.917,4.333,4.417,3.5
3.5,4,2,M,4.333,2.917,3.583,4.833,3.75
3,2.5,2,F,3.583,3.917,4.333,4.417,3.5
3.5,3.5,2.5,M,4.333,2.917,3.583,4.833,3.75
2.5,3,2,F,3.583,3.917,4.333,4.417,3.5
4.5,4.5,1.5,M,4.333,2.917,3.583,4.833,3.75
3,4,2,F,3.583,3.917,4.333,4.417,3.5
3.5,4.5,1.5,M,4.333,2.917,3.583,4.833,3.75
3.5,4.5,2,F,3.583,3.917,4.333,4.417,3.5
3.5,4,2,F,3.583,3.917,4.333,4.417,3.5
3.5,4.5,1.5,M,4.333,2.917,3.583,4.833,3.75
3,3.5,3.5,F,3.583,3.917,4.333,4.417,3.5
4,5,1.5,M,4.333,2.917,3.583,4.833,3.75
2.5,4,2.5,F,3.583,3.917,4.333,4.417,3.5
2.5,3,2.5,M,4.333,2.917,3.583,4.833,3.75
2.5,3.5,2.5,F,3.583,3.917,4.333,4.417,3.5
3.5,3.5,2,M,4.333,2.917,3.583,4.833,3.75
3.5,4.5,2,M,4.333,2.917,3.583,4.833,3.75
3,4,2,F,3.583,3.917,4.333,4.417,3.5
3,4,2,M,4.333,2.917,3.583,4.833,3.75
3,4.5,2,F,3.583,3.917,4.333,4.417,3.5
2.5,3.5,3,M,4.333,2.917,3.583,4.833,3.75
4,4.5,1.5,F,3.583,3.917,4.333,4.417,3.5
4,4.5,1.5,M,4.333,2.917,3.583,4.833,3.75
3,3.5,1.5,M,4.333,2.917,3.583,4.833,3.75
4,5,1.5,F,3.583,3.917,4.333,4.417,3.5
3.5,4.5,1.5,F,3.583,3.917,4.333,4.417,3.5
3,3.5,2,M,4.333,2.917,3.583,4.833,3.75
3,3.5,2,F,3.583,3.917,4.333,4.417,3.5
4,4.5,1.5,M,4.333,2.917,3.583,4.833,3.75
3,4,2,M,4.333,2.917,3.583,4.833,3.75
3.5,4,2,F,3.583,3.917,4.333,4.417,3.5
3,4,2,M,4.333,2.917,3.583,4.833,3.75
4,4.5,1.5,F,3.583,3.917,4.333,4.417,3.5
3.5,4.5,1.5,M,4.333,2.917,3.583,4.833,3.75
3.5,4.5,1.5,F,3.583,3.917,4.333,4.417,3.5
3,4.5,2,M,4.333,2.917,3.583,4.833,3.75
3,4.5,2,F,3.583,3.917,4.333,4.417,3.5
4,5,1.5,M,4.333,2.917,3.583,4.833,3.75
4,4.5,2,M,4.333,2.917,3.583,4.833,3.75
3.5,4,2,F,3.583,3.917,4.333,4.417,3.5
2.5,3.5,3,M,4.333,2.917,3.583,4.833,3.75
3.5,3.5,2,F,3.583,3.917,4.333,4.417,3.5
3,4,2.5,M,4.333,2.917,3.583,4.833,3.75
4,5,1,F,3.583,3.917,4.333,4.417,3.5
3,3.5,2,M,4.333,2.917,3.583,4.833,3.75
3,3.5,2,F,3.583,3.917,4.333,4.417,3.5
3,3.5,3,M,4.333,2.917,3.583,4.833,3.75
2.5,3.5,2,F,3.583,3.917,4.333,4.417,3.5
2.5,3.5,2.5,M,4.333,2.917,3.583,4.833,3.75
2,2.5,3,F,3.583,3.917,4.333,4.417,3.5
3,3.3333,2.3333,F,4.583,1.75,2.583,6.333,3.083
3,2.6667,2.6667,M,3.917,3.083,3.75,4.75,2.833
3.6667,3.3333,2,F,4.583,1.75,2.583,6.333,3.083
3,3,3,M,3.917,3.083,3.75,4.75,2.833
2.3333,3.3333,2.6667,F,4.583,1.75,2.583,6.333,3.083
3,3,3,M,3.917,3.083,3.75,4.75,2.833
2.6667,3,2.6667,M,3.917,3.083,3.75,4.75,2.833
3,3,2.6667,F,4.583,1.75,2.583,6.333,3.083
3.3333,2.6667,3,M,3.917,3.083,3.75,4.75,2.833
3.3333,3,3,F,4.583,1.75,2.583,6.333,3.083
2.6667,2.6667,3,M,3.917,3.083,3.75,4.75,2.833
3.3333,3.3333,2,F,4.583,1.75,2.583,6.333,3.083
3,3.3333,3,M,3.917,3.083,3.75,4.75,2.833
4,4,2,F,4.583,1.75,2.583,6.333,3.083
2.6667,3,2.6667,M,3.917,3.083,3.75,4.75,2.833
4,4,2,F,4.583,1.75,2.583,6.333,3.083
2.6667,3,3,M,3.917,3.083,3.75,4.75,2.833
3.6667,3.3333,2.6667,F,4.583,1.75,2.583,6.333,3.083
3,3,3,M,3.917,3.083,3.75,4.75,2.833
3.3333,3.3333,2,F,4.583,1.75,2.583,6.333,3.083
3.6667,2.6667,2.3333,M,3.917,3.083,3.75,4.75,2.833
4,3.6667,1.6667,F,4.583,1.75,2.583,6.333,3.083
2.6667,1.6667,2.3333,M,3.917,3.083,3.75,4.75,2.833
3.3333,3.6667,1.6667,F,4.583,1.75,2.583,6.333,3.083
4.3333,3.6667,1.3333,F,4.583,1.75,2.583,6.333,3.083
3,3.3333,3,M,3.917,3.083,3.75,4.75,2.833
3.6667,2.6667,1.6667,F,4.583,1.75,2.583,6.333,3.083
2.6667,3.6667,2.6667,M,3.917,3.083,3.75,4.75,2.833
3.6667,3.6667,2.3333,F,4.583,1.75,2.583,6.333,3.083
3.6667,4,2,M,3.917,3.083,3.75,4.75,2.833
3.3333,3,2.3333,F,4.583,1.75,2.583,6.333,3.083
3.6667,3.6667,2,M,3.917,3.083,3.75,4.75,2.833
3,3,2.3333,F,4.583,1.75,2.583,6.333,3.083
3.6667,3.3333,2.3333,M,3.917,3.083,3.75,4.75,2.833
3.6667,3.6667,2.3333,M,3.917,3.083,3.75,4.75,2.833
4,3,1.3333,F,4.583,1.75,2.583,6.333,3.083
3.3333,4.3333,1.6667,M,3.917,3.083,3.75,4.75,2.833
3,3,4,F,3.083,6.083,5.833,2.667,4.167
2.5,3,4,M,2.917,6,4.5,2.833,3.667
3.5,3,4,F,3.083,6.083,5.833,2.667,4.167
3,3.5,4,F,3.083,6.083,5.833,2.667,4.167
3,2,3,M,2.917,6,4.5,2.833,3.667
2.5,3,3.5,F,3.083,6.083,5.833,2.667,4.167
2.5,3,3,M,2.917,6,4.5,2.833,3.667
3.5,2.5,3.5,F,3.083,6.083,5.833,2.667,4.167
2,2.5,2.5,M,2.917,6,4.5,2.833,3.667
3.5,2.5,2.5,F,3.083,6.083,5.833,2.667,4.167
2.5,3,2.5,M,2.917,6,4.5,2.833,3.667
3,3,3.5,F,3.083,6.083,5.833,2.667,4.167
3,3.5,3.5,M,2.917,6,4.5,2.833,3.667
3,3.5,3,F,3.083,6.083,5.833,2.667,4.167
2,3,3,M,2.917,6,4.5,2.833,3.667
2.5,3,2.5,F,3.083,6.083,5.833,2.667,4.167
3,3,3,M,2.917,6,4.5,2.833,3.667
3.5,3.5,4,F,3.083,6.083,5.833,2.667,4.167
4,4,4,M,2.917,6,4.5,2.833,3.667
4,4,4,M,2.917,6,4.5,2.833,3.667
4,4,4,M,2.917,6,4.5,2.833,3.667
3.5,4,3.5,M,2.917,6,4.5,2.833,3.667
3.5,3.5,3,F,3.083,6.083,5.833,2.667,4.167
3.5,3,3,M,2.917,6,4.5,2.833,3.667
2.5,3,3,F,3.083,6.083,5.833,2.667,4.167
3,2.5,3,M,2.917,6,4.5,2.833,3.667
3,3,4,F,3.083,6.083,5.833,2.667,4.167
3.5,3.5,4,M,2.917,6,4.5,2.833,3.667
3,3.5,4,F,3.083,6.083,5.833,2.667,4.167
3,3.5,3.5,M,2.917,6,4.5,2.833,3.667
4.5,4,4,F,3.083,6.083,5.833,2.667,4.167
4,4.5,4,M,2.917,6,4.5,2.833,3.667
4.5,4.5,4.5,M,2.917,6,4.5,2.833,3.667
4.5,4.5,4.5,F,3.083,6.083,5.833,2.667,4.167
4.5,4.5,4.5,M,2.917,6,4.5,2.833,3.667
3,3,3.5,F,3.083,6.083,5.833,2.667,4.167
2,2,2.5,M,2.917,6,4.5,2.833,3.667
3,3,2.5,F,3.083,6.083,5.833,2.667,4.167
3.5,3.5,3,M,2.917,6,4.5,2.833,3.667
3.5,3,2,F,3.083,6.083,5.833,2.667,4.167
2.5,2.5,2,M,2.917,6,4.5,2.833,3.667
2.5,3.5,2,F,3.083,6.083,5.833,2.667,4.167
3,3,2.5,M,2.917,6,4.5,2.833,3.667
2,3,3,F,3.083,6.083,5.833,2.667,4.167
2,2.5,2,M,2.917,6,4.5,2.833,3.667
2,3.5,2,F,3.083,6.083,5.833,2.667,4.167
2.5,3,2.5,M,2.917,6,4.5,2.833,3.667
2.5,3,3.5,F,3.083,6.083,5.833,2.667,4.167
2,3,2,M,2.917,6,4.5,2.833,3.667
3,3,2.5,F,3.083,6.083,5.833,2.667,4.167
2.5,3,2,M,2.917,6,4.5,2.833,3.667
3,3.5,1.5,F,3.083,6.083,5.833,2.667,4.167
3,3.5,2,M,2.917,6,4.5,2.833,3.667
3.5,4,3,M,2.917,6,4.5,2.833,3.667
3.5,4.5,2,M,2.917,6,4.5,2.833,3.667
3,4.5,2,M,2.917,6,4.5,2.833,3.667
4,4.5,2.5,M,2.917,6,4.5,2.833,3.667
3.5,4.5,1.5,M,2.917,6,4.5,2.833,3.667
3.5,4.5,1.5,M,2.917,6,4.5,2.833,3.667
3.5,4.5,2.5,M,2.917,6,4.5,2.833,3.667
2.5,4.5,2.5,M,2.917,6,4.5,2.833,3.667
2.5,3.5,2.5,F,3.083,6.083,5.833,2.667,4.167
2.5,3.5,3,M,2.917,6,4.5,2.833,3.667
3.5,4.5,2,F,3.083,6.083,5.833,2.667,4.167
4,4,2.5,F,3.083,6.083,5.833,2.667,4.167
3.5,4,4,M,2.917,6,4.5,2.833,3.667
3.5,4,4,F,3.083,6.083,5.833,2.667,4.167
3.5,2.5,4,M,4.833,4.25,3.667,3.167,5.75
3.5,2.5,4.5,M,4.833,4.25,3.667,3.167,5.75
2,2,4,M,4.833,4.25,3.667,3.167,5.75
3,2,4,M,4.833,4.25,3.667,3.167,5.75
2.5,2,2.5,F,2.333,2.333,4.167,5.25,2.167
3,2,4,M,4.833,4.25,3.667,3.167,5.75
3,1.5,4,M,4.833,4.25,3.667,3.167,5.75
2.5,2.5,2.5,M,4.833,4.25,3.667,3.167,5.75
2,2,2,F,2.333,2.333,4.167,5.25,2.167
2,2,2.5,M,4.833,4.25,3.667,3.167,5.75
2.5,3,2,F,2.333,2.333,4.167,5.25,2.167
3,2,3,M,4.833,4.25,3.667,3.167,5.75
3,3,2,F,2.333,2.333,4.167,5.25,2.167
2,2,2.5,M,4.833,4.25,3.667,3.167,5.75
3.5,3,2,F,2.333,2.333,4.167,5.25,2.167
2.5,2,3.5,M,4.833,4.25,3.667,3.167,5.75
2.5,2,4,M,4.833,4.25,3.667,3.167,5.75
2.5,2,4,M,4.833,4.25,3.667,3.167,5.75
1.5,2,2.5,F,2.333,2.333,4.167,5.25,2.167
3,2.5,3.5,M,4.833,4.25,3.667,3.167,5.75
3,2.5,3.5,M,4.833,4.25,3.667,3.167,5.75
3.5,2,4,M,4.833,4.25,3.667,3.167,5.75
2.5,2,4,M,4.833,4.25,3.667,3.167,5.75
2.5,2.5,2,F,2.333,2.333,4.167,5.25,2.167
3.5,2,3,M,4.833,4.25,3.667,3.167,5.75
3,2.5,2,F,2.333,2.333,4.167,5.25,2.167
3.5,3,2.5,M,4.833,4.25,3.667,3.167,5.75
3,3,2,F,2.333,2.333,4.167,5.25,2.167
3,3,2.5,M,4.833,4.25,3.667,3.167,5.75
3,3,2.5,F,2.333,2.333,4.167,5.25,2.167
3.5,3,2.5,M,4.833,4.25,3.667,3.167,5.75
2.5,2.5,2.5,F,2.333,2.333,4.167,5.25,2.167
2.5,3,2.5,M,4.833,4.25,3.667,3.167,5.75
3,3,2,F,2.333,2.333,4.167,5.25,2.167
3.5,2,2.5,M,4.833,4.25,3.667,3.167,5.75
3.5,3,2,F,2.333,2.333,4.167,5.25,2.167
3.5,2.5,3.5,M,4.833,4.25,3.667,3.167,5.75
3.5,3.5,3.5,M,4.833,4.25,3.667,3.167,5.75
3.5,3,2,F,2.333,2.333,4.167,5.25,2.167
4,3,3,M,4.833,4.25,3.667,3.167,5.75
3,2.5,4.5,M,4.833,4.25,3.667,3.167,5.75
4,3,2,F,2.333,2.333,4.167,5.25,2.167
3.5,2.5,3.5,M,4.833,4.25,3.667,3.167,5.75
3,2.5,2,F,2.333,2.333,4.167,5.25,2.167
4,2.5,3,M,4.833,4.25,3.667,3.167,5.75
3.5,3,3,M,4.833,4.25,3.667,3.167,5.75
3,2,2.5,F,2.333,2.333,4.167,5.25,2.167
2.5,1.5,2,M,4.833,4.25,3.667,3.167,5.75
2.5,2.5,2.5,F,2.333,2.333,4.167,5.25,2.167
2.5,3,2,M,4.833,4.25,3.667,3.167,5.75
2.5,2.5,2.5,M,4.833,4.25,3.667,3.167,5.75
4,3.5,2,F,2.333,2.333,4.167,5.25,2.167
2.5,2.5,2.5,M,4.833,4.25,3.667,3.167,5.75
2.5,2.5,2.5,F,2.333,2.333,4.167,5.25,2.167
2,2,4,M,4.833,4.25,3.667,3.167,5.75
